伍佰,#genre#
我们注定在一起,http://em.21dtv.com/songs/60096041.mkv
忘情歌,http://em.21dtv.com/songs/60043630.mkv
无人替代,http://em.21dtv.com/songs/60090585.mkv
顽石的飞行,http://em.21dtv.com/songs/60090593.mkv
无声的所在(演唱会),http://em.21dtv.com/songs/60047416.mkv
往事欲如何,http://em.21dtv.com/songs/60043453.mkv
我为草原唱情歌,http://em.21dtv.com/songs/60065106.mkv
万丈深坑(演唱会),http://em.21dtv.com/songs/60043327.mkv
心爱的再会啦(演唱会),http://em.21dtv.com/songs/60050146.mkv
兄弟,http://em.21dtv.com/songs/60051451.mkv
现代人,http://em.21dtv.com/songs/60048497.mkv
小帆船,http://em.21dtv.com/songs/60049544.mkv
小狗丢丢,http://em.21dtv.com/songs/60086020.mkv
小姐免惊,http://em.21dtv.com/songs/60049601.mkv
想见你,http://em.21dtv.com/songs/60084190.mkv
小妹,http://em.21dtv.com/songs/60096651.mkv
心如刀割(演唱会),http://em.21dtv.com/songs/60063112.mkv
小人国(演唱会),http://em.21dtv.com/songs/60049714.mkv
稀微的风中,http://em.21dtv.com/songs/60048037.mkv
相信未来,http://em.21dtv.com/songs/60086004.mkv
相约春天,http://em.21dtv.com/songs/60071313.mkv
雪域高原一抹绿,http://em.21dtv.com/songs/60078979.mkv
夏夜晚风(演唱会),http://em.21dtv.com/songs/60048425.mkv
行者无疆,http://em.21dtv.com/songs/60065272.mkv
一百九十九玫瑰(演唱会),http://em.21dtv.com/songs/60052724.mkv
一次,http://em.21dtv.com/songs/60096648.mkv
一点点(演唱会),http://em.21dtv.com/songs/60052855.mkv
缘分那么浅,http://em.21dtv.com/songs/60164435.mkv
要改变自己,http://em.21dtv.com/songs/60052366.mkv
一个人,http://em.21dtv.com/songs/60052988.mkv
银河特快,http://em.21dtv.com/songs/60087290.mkv
一九八三,http://em.21dtv.com/songs/60086115.mkv
一九九玫瑰(演唱会),http://em.21dtv.com/songs/60072707.mkv
与你到永久,http://em.21dtv.com/songs/60055586.mkv
要你知道我爱你,http://em.21dtv.com/songs/60084328.mkv
一亲红颜,http://em.21dtv.com/songs/60053460.mkv
一石二鸟,http://em.21dtv.com/songs/60053645.mkv
一生最爱的人,http://em.21dtv.com/songs/60053640.mkv
永远的爱人,http://em.21dtv.com/songs/60065383.mkv
遥远的世界,http://em.21dtv.com/songs/60010889.mkv
最初的地方(演唱会),http://em.21dtv.com/songs/60060127.mkv
再度重相逢,http://em.21dtv.com/songs/60056753.mkv
真世界,http://em.21dtv.com/songs/60058204.mkv
终于(演唱会),http://em.21dtv.com/songs/60059035.mkv
种子,http://em.21dtv.com/songs/60133358.mkv

王贰浪,#genre#
恋曲2018,http://em.21dtv.com/songs/60169965.mkv
像鱼,http://em.21dtv.com/songs/60169249.mkv

汪峰,#genre#
爱不可及,http://em.21dtv.com/songs/50001178.mkv
爱的隧道,http://em.21dtv.com/songs/60102457.mkv
爱侣,http://em.21dtv.com/songs/60007725.mkv
暧昧,http://em.21dtv.com/songs/60009302.mkv
暧昧(演唱会),http://em.21dtv.com/songs/60009298.mkv
阿曼尼极品超强HOUSE电音高音质嗨串,http://em.21dtv.com/songs/60146976.mkv
爱你的方式,http://em.21dtv.com/songs/60098551.mkv
阿娘哈细腰,http://em.21dtv.com/songs/60135314.mkv
爱上你给的痛,http://em.21dtv.com/songs/60090464.mkv
爱是一颗幸福的子弹,http://em.21dtv.com/songs/60008811.mkv
阿修罗,http://em.21dtv.com/songs/60006838.mkv
暗涌,http://em.21dtv.com/songs/60009410.mkv
爱有什么不好,http://em.21dtv.com/songs/60087928.mkv
爱与痛的边缘,http://vodcdn.video.taobao.com/oss/ali-video/f5e79c70df75bdccf2714ed788764f58/video.m3u8
爱与痛的边缘(演唱会),http://em.21dtv.com/songs/60009134.mkv
阿兹海默,http://em.21dtv.com/songs/60070445.mkv
爱着她又不能伤害你,http://em.21dtv.com/songs/60148253.mkv
彼岸(演唱会),http://em.21dtv.com/songs/60010392.mkv
彼岸花,http://em.21dtv.com/songs/60010397.mkv
